address,name,online_order,book_table,rate,rating_clean,votes,location,location_clean,rest_type,primary_rest_type,dish_liked,cuisines,primary_cuisine,approx_cost(for two people),cost_for_two,listed_in(type),listed_in(city),city_clean
"335, 1st Main, B Block, Brookefield, Bangalore",Refresh,Yes,Yes,3.2/5,3.2,501,Brookefield,Brookefield,Cafe,,"Poha, Masala Tea, Sandwiches, Pav Bhaji, Coffee, Egg Roll, Omelette","Cafe, Beverages",Cafe,500,,Cafes,Brookefield,Brookefield
"274, 1St Main 8Th Cross, Near United Engineering, Garvebhavi Palya Road, Hongasnadra, BTM, Bangalore",Cupp,No,No,NEW,3.7,0,BTM,Btm,Cafe,,,"Cafe, Fast Food",Cafe,550,,Cafes,BTM,Btm
"Behind Salarpuria Infozone, Doddathoguru, Phase 1, Electronic City, Bangalore",Sruthi Mess,No,No,,3.7,0,Electronic City,Electronic City,Mess,,,"South Indian, North Indian, Chinese",South Indian,300,,Dine-out,Electronic City,Electronic City
"6, 80 Feet Road, Nyanappanahalli, Begur Post, Bannerghatta Road, Bangalore",Muddhe Bytes,Yes,No,3.4/5,3.4,9,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,"South Indian, Biryani",South Indian,300,,Dine-out,Bannerghatta Road,Bannerghatta Road
"Rhenius Road, Opposite Hockey Stadium, Richmond Town, Bangalore",Hushy's Kitchen,Yes,No,3.5/5,3.5,58,Shanti Nagar,Shanti Nagar,Quick Bites,,,Fast Food,Fast Food,300,,Delivery,Brigade Road,Brigade Road
"1 MG Mall, MG Road, Bangalore",Yauatcha,No,Yes,4.6/5,4.6,2339,MG Road,Mg Road,Fine Dining,,"Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Chocolate Hazelnut Mousse, Macaroon","Chinese, Asian, Cantonese, Tea",Chinese,"2,800",,Dine-out,Brigade Road,Brigade Road
"Nallurahalli Road, Nallurhalli, Whitefield, Bangalore",Nawab-E-Khana,No,No,3.1/5,3.1,6,Whitefield,Whitefield,Quick Bites,,,"North Indian, Biryani",North Indian,500,,Delivery,Brookefield,Brookefield
"39/4, Srinivas Reddy Building, Near Kundalahalli Gate, ITPL Main Road, Brookefield, Bangalore",Midas Touch,No,No,3.2/5,3.2,19,Brookefield,Brookefield,Bakery,,,"Bakery, Fast Food, Desserts",Bakery,300,,Delivery,Brookefield,Brookefield
"S-6, Silver Spring Layout, (G.K. Vale building), HAL varthur Road, Munnekollau, Spice Gardens Bus Stop, Marathahalli, Bangalore",Waffle House,Yes,No,3.6/5,3.6,28,Marathahalli,Marathahalli,Dessert Parlor,,,Desserts,Desserts,300,,Delivery,Brookefield,Brookefield
"92, 1st main Road, 9th cross, Chamarajpet, Basavanagudi, Bangalore",Gowdru Military Hotel,No,No,3.3 /5,3.3,6,Basavanagudi,Basavanagudi,Quick Bites,,,"Biryani, Seafood, South Indian",Biryani,150,,Dine-out,Basavanagudi,Basavanagudi
"176, KBAR Main Road, Austin Town, Richmond Road, Bangalore",Kabab and Biryani Centre,No,No,,3.7,0,Richmond Road,Richmond Road,Quick Bites,,,"North Indian, Fast Food",North Indian,300,,Delivery,Brigade Road,Brigade Road
"Narayan Gowda Layout, 1st Stage, BTM, Bangalore",Al Habibi Restaurant,Yes,No,3.5/5,3.5,17,BTM,Btm,Quick Bites,,,"North Indian, Chinese",North Indian,300,,Dine-out,BTM,Btm
"10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore",Coffee Bytes,No,No,3.1/5,3.1,6,Banashankari,Banashankari,Quick Bites,,,"Fast Food, South Indian",Fast Food,100,,Dine-out,Basavanagudi,Basavanagudi
"77, Near Ayyappa Temple, Hosur Main Road, Madiwala, BTM, Bangalore",Krishna Sagar,Yes,No,3.9/5,3.9,52,BTM,Btm,Quick Bites,,Masala Dosa,"South Indian, North Indian, Chinese",South Indian,300,,Dine-out,BTM,Btm
"764, Sector 3, HSR Layout, Bangalore",The Waffle Street,Yes,No,3.9/5,3.9,46,HSR,Hsr,"Quick Bites, Dessert Parlor",,"Waffles, Pasta Alfredo","Continental, Beverages, Burger, Coffee, Desserts",Continental,300,,Delivery,BTM,Btm
"173, Bannerghatta Main Road, Stage 2, Bilekahalli, Bannerghatta Road, Bangalore",Kalpavruksha,Yes,No,3.9/5,3.9,99,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,"South Indian, North Indian",South Indian,300,,Dine-out,BTM,Btm
"172/1, 3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Shawarma Inc,Yes,No,3.2/5,3.2,4,Bannerghatta Road,Bannerghatta Road,Food Court,,,"Rolls, Lebanese",Rolls,250,,Delivery,Bannerghatta Road,Bannerghatta Road
"Play X Arena, 75, Kasavanahalli, Near Total Mall, Sarjapur Road, Bangalore",Minus 4,No,No,3.3/5,3.3,4,Sarjapur Road,Sarjapur Road,Dessert Parlor,,,Desserts,Desserts,300,,Desserts,Bellandur,Bellandur
"1, 1st Floor, Church Street, Bangalore",Ayda Persian Kitchen,Yes,No,3.9/5,3.9,224,Church Street,Church Street,Casual Dining,,"Roti, Naan, Butter Chicken, Biryani, Saffron Rice, Mutton Kebab, Lassi","North Indian, Iranian",North Indian,950,,Dine-out,Brigade Road,Brigade Road
"Sri Balaji Complex, 339/3, Kuvempu Nagar, Next to Bus Stand, Mysore Road, Bangalore",Matru Sagar,Yes,No,3.7/5,3.7,31,Mysore Road,Mysore Road,Quick Bites,,,"South Indian, North Indian",South Indian,300,,Delivery,Banashankari,Banashankari
"14/2, Sarjapur Main Rd, Kaikondrahalli, Sarjapur Road, Bangalore",Rampyari Chaiwala Netaji Bhajiawala,Yes,No,3.1/5,3.1,25,Sarjapur Road,Sarjapur Road,Quick Bites,,,"Street Food, South Indian",Street Food,150,,Dine-out,Bellandur,Bellandur
"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",3 Spice,Yes,No,3.9/5,3.9,157,Wilson Garden,Wilson Garden,Casual Dining,,"Manchow Soup, Shawarma, Momos, Hyderabadi Biryani, Vegetarian, Noodles, Dragon Chicken","North Indian, Chinese",North Indian,450,,Delivery,Brigade Road,Brigade Road
"Shop 214, Block A, Sree Sai Supreme Apartment, Opposite Nandi Park, Bannerghatta Road, Bangalore",The Punjabi Tadka,No,No,,3.7,0,Bannerghatta Road,Bannerghatta Road,Delivery,,,North Indian,North Indian,200,,Delivery,Bannerghatta Road,Bannerghatta Road
"Borewell Road , Nallurhalli, Whitefield, Bangalore",Spoon Me,No,No,3.4/5,3.4,8,Whitefield,Whitefield,Delivery,,,"Bengali, North Indian, Chinese",Bengali,400,,Delivery,Brookefield,Brookefield
"Liss Arcade, 16th Main Road, 2nd Stage, BTM, Bangalore",BOX8- Desi Meals,Yes,No,4.3/5,4.3,385,BTM,Btm,"Takeaway, Delivery",,"Dal Makhani, Paratha, Salad, Rajma, Biryani, Brownie, Salads","North Indian, Mughlai, Fast Food",North Indian,500,,Delivery,BTM,Btm
"32/1,1st Floor, Next To Kaveri Bank, Bellandur, Bangalore",Paratha's Kitchen,Yes,No,2.8/5,2.8,32,Bellandur,Bellandur,,,"Paratha, Chole","North Indian, South Indian",North Indian,200,,Dine-out,Bellandur,Bellandur
"344, 50 Feet Road, Dasarhalli, Srinagar, Banashankari, Bangalore",Shree Mahalakshmi Sweets,Yes,No,3.2/5,3.2,8,Banashankari,Banashankari,Sweet Shop,,,"Mithai, Street Food",Mithai,100,,Desserts,Banashankari,Banashankari
"Ashok Nagar, Brigade Road",Kerala Kitchen,Yes,No,3.2/5,3.2,31,Brigade Road,Brigade Road,Quick Bites,,,"Kerala, South Indian",Kerala,200,,Delivery,Brigade Road,Brigade Road
"Opposite Assez Apartment, Gear School Road, Bellandur, Bangalore",Cuppa,No,No,3.7/5,3.7,33,Bellandur,Bellandur,Cafe,,,"Cafe, Fast Food",Cafe,550,,Dine-out,Bellandur,Bellandur
"14th Main, 4th Sector, HSR, Bangalore",Swathi Restaurant,Yes,No,,3.7,0,HSR,Hsr,"Takeaway, Delivery",,,"Andhra, North Indian, Chinese",Andhra,400,,Delivery,BTM,Btm
"56, Devarabisanahalli, Near Intel Computers, Outer Ring Road, Bellandur, Bangalore",Hotel Masthi Kabab,No,No,3.1/5,3.1,9,Bellandur,Bellandur,Quick Bites,,,"North Indian, Chinese",North Indian,300,,Dine-out,Bellandur,Bellandur
"V3/1, M/s. Sai Linkize N Solutions, NGEF Industrial Estate, Mahadevpura Post, Whitefield, Bangalore",Gusto's Pizza,No,No,3.1/5,3.1,10,Whitefield,Whitefield,"Takeaway, Delivery",,,Pizza,Pizza,500,,Delivery,Brookefield,Brookefield
"No-1/74,below brown tree,26th main,36th cross jayanagar, 4th T Block East, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041",UP Style North Indian Food,Yes,No,3.6/5,3.6,46,Jayanagar,Jayanagar,"Takeaway, Delivery",,,North Indian,North Indian,100,,Delivery,Basavanagudi,Basavanagudi
"Ground Floor, Next to IDFC Bank, Ballalbagh, MG Road, Bangalore",Chaat Chatore,No,No,,3.7,0,MG Road,Mg Road,Quick Bites,,,"Fast Food, Street Food",Fast Food,150,,Delivery,Brigade Road,Brigade Road
"C4, Near Village Hyper Market, Spice Garden Layout, Marathahalli, Bangalore",Lassi Corner,Yes,No,3.3/5,3.3,68,Marathahalli,Marathahalli,"Beverage Shop, Quick Bites",,"Sandwiches, Lassi, Berry Delight, Faluda, Oreo Shake","Beverages, Sandwich",Beverages,250,,Delivery,Brookefield,Brookefield
"9/1, Tank Road, Ulsoor, Bangalore",Shanthi Sagar,Yes,No,4.1/5,4.1,205,Ulsoor,Ulsoor,Quick Bites,,"Coffee, Roti, Vada Pav","South Indian, North Indian, Chinese, Juices",South Indian,250,,Dine-out,Church Street,Church Street
"168, 16th Croos, 7th Mainroad NS Palya, BTM, Bangalore",Ahmed's Little Hut,Yes,No,,3.7,0,BTM,Btm,Quick Bites,,,Fast Food,Fast Food,250,,Delivery,BTM,Btm
"55, Opposite SKF, Bommasandra Village, Attibele Hobli, Anekal Taluk, Electronic City, Bangalore",Pizza Hut,Yes,No,3.2/5,3.2,120,Electronic City,Electronic City,Quick Bites,,Pizza,"Pizza, Fast Food",Pizza,750,,Delivery,Electronic City,Electronic City
"Shop 93, 17th H Main Road, KHB Colony, Koramangala 5th Block, Bangalore",Village Donne Biryani,Yes,No,3.3/5,3.3,49,Koramangala 5th Block,Koramangala 5Th Block,Quick Bites,,,Biryani,Biryani,300,,Dine-out,BTM,Btm
"725,16th Main, 2nd Stage, BTM, Bangalore",Gorbandh,Yes,No,4.1/5,4.1,83,BTM,Btm,Quick Bites,,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",Fast Food,400,,Dine-out,Bannerghatta Road,Bannerghatta Road
"The Oberoi, 37-39, MG Road, Bangalore",Rim Naam - The Oberoi,No,No,4.6/5,4.6,979,MG Road,Mg Road,Fine Dining,,"Seafood Soup, Mocktails, Mushroom Salad, Wine, Jasmine Rice, Som Tam, Thai Red Curry",Thai,Thai,"3,000",,Buffet,Brigade Road,Brigade Road
"18 & 19, Bangalore English School Road, Naganathapura, Hosur Road, Bangalore",Manna Tasty Foods,No,No,,3.7,0,Hosur Road,Hosur Road,Quick Bites,,,"South Indian, Biryani, Seafood",South Indian,500,,Dine-out,BTM,Btm
"10, 4th cross, Muneshwara Block, Devinagar, Banashankari, Bangalore",Amma - Manae,No,No,,3.7,0,Banashankari,Banashankari,"Takeaway, Delivery",,,South Indian,South Indian,400,,Delivery,Banashankari,Banashankari
"1080, Near Niligiris, Kumaraswamy Layout, Bangalore",Dining Hut,Yes,No,3.5/5,3.5,10,Kumaraswamy Layout,Kumaraswamy Layout,Quick Bites,,,"North Indian, Chinese, South Indian",North Indian,400,,Delivery,Banashankari,Banashankari
"55, Sapthagiri Layout, Government College Road, Belthur, Kadugodi, Near Whitefield, Bangalore",PR Kitchen,No,No,NEW,3.7,0,Whitefield,Whitefield,Quick Bites,,,"South Indian, Chinese",South Indian,350,,Dine-out,Brookefield,Brookefield
"8, Ajmera Avenue, Neeladri Road, Electronic City, Bengaluru",Milkshake Kulture,No,No,3.5/5,3.5,10,Electronic City,Electronic City,Beverage Shop,,,Beverages,Beverages,300,,Delivery,Electronic City,Electronic City
"Opposite Metro Station, MG Road, Bangalore",SkyDeck By Sherlock's,No,Yes,4.2/5,4.2,1427,MG Road,Mg Road,"Pub, Casual Dining",,"Salad, Beer, Nachos, Chicken Wings, Onion Rings, Chilli Paneer, Roti","Continental, Chinese, Finger Food, North Indian",Continental,"1,500",,Pubs and bars,Church Street,Church Street
"4, Madras Bank Road, St. Marks Road, Bangalore",Sattuani,No,No,3.5/5,3.5,10,St. Marks Road,St. Marks Road,Quick Bites,,,"Bihari, North Indian, Fast Food",Bihari,250,,Dine-out,Church Street,Church Street
"26/2, Outer Ring Road, Near Ecospace IT Park, Bellandur, Bangalore",Biryani Kitchen,Yes,No,3.9/5,3.9,214,Bellandur,Bellandur,Quick Bites,,"Hyderabadi Biryani, Paneer Biryani",Biryani,Biryani,400,,Delivery,Bellandur,Bellandur
"95/3, Kote M.R Plaza, Outer Ring Road, Marathahalli, Bangalore",Paprica,Yes,No,2.6/5,2.6,118,Marathahalli,Marathahalli,"Casual Dining, Bar",,"Mocktails, Gulab Jamun, Chilli Chicken, Biryani, Lunch Buffet","North Indian, Chinese",North Indian,"1,200",,Dine-out,Brookefield,Brookefield
"10, Central Street, AT.Halli, Shanti Nagar, Bangalore",21 Corner Haus Cafe,No,No,,3.7,0,Shanti Nagar,Shanti Nagar,Quick Bites,,,"North Indian, Chinese, Biryani",North Indian,300,,Delivery,Brigade Road,Brigade Road
"2035, 26th Main Road, South End F Cross, Oppsite Ragigudda Temple, 9th block, J.p.Nagar, Bangalore, Bengaluru",SAATHVIK Cafe Chats,No,No,,3.7,0,JP Nagar,Jp Nagar,Quick Bites,,,"North Indian, Street Food",North Indian,250,,Dine-out,BTM,Btm
"5/1, 5th Main Road, Raghavendra Colony, Chamrajpet, Basavanagudi, Bangalore",Roofnic,No,No,3.1 /5,3.1,9,Basavanagudi,Basavanagudi,Quick Bites,,,"Fast Food, Beverages",Fast Food,300,,Dine-out,Basavanagudi,Basavanagudi
"Shop No. 354, Swagath Garuda Road, Opposite Swagath Garuda Mall, Jayanagar, Bangalore",Taj Durbar,No,No,3.8/5,3.8,83,Jayanagar,Jayanagar,Quick Bites,,"Mutton Biryani, Ghee Rice","North Indian, BBQ",North Indian,400,,Delivery,BTM,Btm
"St Germain School Building, Promanade Road, Near Coles Park, Frazer Town, Bangalore",Raidan Restaurant,No,No,3.9/5,3.9,169,Frazer Town,Frazer Town,Casual Dining,,"Shawarma, Al Faham Chicken","Arabian, Chinese, Fast Food",Arabian,600,,Delivery,Church Street,Church Street
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8/5,3.8,69,Bannerghatta Road,Bannerghatta Road,"Cafe, Bakery",,"Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",Cafe,700,,Delivery,Bannerghatta Road,Bannerghatta Road
"13/14,KK Heights, ACES Main Road, Brookefield, Bangalore",Hotel Salala,Yes,No,3.5/5,3.5,18,Brookefield,Brookefield,Quick Bites,,,"North Indian, South Indian, Chinese, Biryani",North Indian,400,,Delivery,Brookefield,Brookefield
"Opposite Shell Petrol Bunk, Gottigare Bannerghatta Road, Bangalore",Oottupura Family Restaurant,Yes,No,3.4/5,3.4,224,Bannerghatta Road,Bannerghatta Road,Quick Bites,,"Appam, Tea, Chicken Curry, Kadala Curry, Fish, Egg Curry, Idiyappam","Kerala, South Indian, Biryani",Kerala,400,,Delivery,Bannerghatta Road,Bannerghatta Road
"123(2), 24th Main, 5th Phase, Opposite To Royal High School, JP Nagar, Bangalore",Funky Punjab,Yes,No,3.9/5,3.9,409,JP Nagar,Jp Nagar,Casual Dining,,"Lassi, Chole, Palak Paneer, Chaap, Paneer Tikka, Panneer Butter Masala, Paratha","North Indian, Chinese",North Indian,500,,Delivery,BTM,Btm
"57, Opposite Galaxy Mall, Residency Road, Bangalore",Sri Udupi Park,Yes,No,3.8/5,3.8,106,Residency Road,Residency Road,Quick Bites,,"Vada, Idli, Kharabath, Noodles, Filter Coffee","South Indian, Chinese",South Indian,200,,Delivery,Brigade Road,Brigade Road
"2nd Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Toscano,Yes,Yes,4.4/5,4.4,1842,Lavelle Road,Lavelle Road,Casual Dining,,"Pizza, Pepperoni, Wine, Salads, Tiramisu, Chicken Bruschetta, Sangria","Italian, Salad",Italian,"1,500",,Delivery,Church Street,Church Street
"10/3, Shamanna Garden, 22nd Main Rd, Phase 5, JP Nagar, Bangalore",Brew Point,Yes,No,3.6/5,3.6,10,JP Nagar,Jp Nagar,Cafe,,,"Cafe, American, Burger, Sandwich, Fast Food",Cafe,500,,Dine-out,Bannerghatta Road,Bannerghatta Road
"63, 1st Floor, Kanakapura Road, Basavanagudi, Bangalore",1980s Games Cafe,Yes,No,3.4/5,3.4,58,Basavanagudi,Basavanagudi,Cafe,,"Maggi, Pasta, Burgers, Sandwiches, Fries","Cafe, Fast Food",Cafe,400,,Dine-out,Basavanagudi,Basavanagudi
"G1 Smart Avenue, 28, Residency Road, Bangalore",WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.0/5,4,85,Residency Road,Residency Road,"Dessert Parlor, Quick Bites",,"Waffles, Pie, Corn Dog","Cafe, Fast Food, Desserts, Beverages",Cafe,400,,Delivery,Brigade Road,Brigade Road
"103, 1st Cross Rd, KEB Colony, New Gurappana Palya, 1st Stage, BTM",Y Not Shawarma,No,No,,3.7,0,BTM,Btm,Quick Bites,,,Arabian,Arabian,300,,Delivery,BTM,Btm
"19- A Block, Alpine Park Apartments, Begur Main Rd, Bommanahalli, Bengaluru",Mama's Cuisine,No,No,,3.7,0,Bommanahalli,Bommanahalli,Delivery,,,"Fast Food, Desserts",Fast Food,200,,Delivery,BTM,Btm
"Behind Poonam Furniture, Chikkatoghogur Road, Electronic City, Bangalore",Ham Khim Chinese Fast Food,No,No,3.1/5,3.1,7,Electronic City,Electronic City,Quick Bites,,,Chinese,Chinese,300,,Delivery,Electronic City,Electronic City
"2nd Floor, Pratap Plaza, Near Airtel Office, Sarjapur Road, Bangalore",Paratha Plaza,No,No,3.5/5,3.5,68,Sarjapur Road,Sarjapur Road,Quick Bites,,"Sattu Paratha, Lassi, Dal Makhani, Roti",North Indian,North Indian,250,,Delivery,Bellandur,Bellandur
"6/1, BCC Layout, Swagath Main Road, 4th T Block, Jayanagar, Bangalore",Aliyar Cafe Sweet Palace,No,No,,3.7,0,Jayanagar,Jayanagar,Quick Bites,,,"Fast Food, Burger, Rolls, Beverages",Fast Food,250,,Delivery,Basavanagudi,Basavanagudi
"13th cross, 16th main, Tavarekere Main Road, BTM Layout, 1st stage, BTM, Bangalore",Zaitoon Lassi Cafe,Yes,No,,3.7,0,BTM,Btm,Quick Bites,,,"Cafe, Burger, Sandwich, Beverages",Cafe,150,,Delivery,BTM,Btm
"Near Arias Pharmacy, Harlur Main Road, Off Sarjapur Road, Bangalore",A La Carte Restaurant,No,No,,3.7,0,Sarjapur Road,Sarjapur Road,Quick Bites,,,"Chinese, North Indian",Chinese,500,,Dine-out,Bellandur,Bellandur
"5, Diagonal Road, 3rd Block, 1st Floor, Jayanagar, Bangalore",Fabcafe,No,Yes,NEW,3.7,0,Jayanagar,Jayanagar,Cafe,,,"Cafe, Healthy Food",Cafe,800,,Dine-out,Basavanagudi,Basavanagudi
"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,No,No,4.1/5,4.1,868,Banashankari,Banashankari,Pub,,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",Continental,"1,200",,Delivery,Basavanagudi,Basavanagudi
"4th Floor, Building 9, Halcyon Complex, St. Marks Road, Bangalore",MISU,Yes,Yes,4.6/5,4.6,1217,St. Marks Road,St. Marks Road,"Casual Dining, Bar",,"Sushi, Dumplings, Khau Suey, Noodles, Cocktails, Virgin Mojito, Drunken Beef","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",Asian,"1,700",,Delivery,Church Street,Church Street
"G8/9/10, Ashoka Plaza, Kamaraj Road, Commercial Street, Bangalore",The Chocolate Heaven,No,No,NEW,3.7,0,Commercial Street,Commercial Street,"Dessert Parlor, Cafe",,,"Desserts, Cafe",Desserts,600,,Cafes,Church Street,Church Street
"SST Brindavan,No.65,EPIP, Whitefield, opposite to western side of ITPL Service gate",Chaai Resto,Yes,No,3.4/5,3.4,6,Brookefield,Brookefield,Cafe,,,"Cafe, Rolls, Fast Food",Cafe,200,,Cafes,Brookefield,Brookefield
"12/3/2, Ambalipura Village, Sarjapur Road, Bangalore",Little Italy,Yes,Yes,4.3/5,4.3,715,Sarjapur Road,Sarjapur Road,Casual Dining,,"Pasta, Pizza, Enchiladas, Mushroom Soup, Salads, Mocktails, Salad","Italian, Pizza",Italian,"1,500",,Dine-out,Bellandur,Bellandur
"95, 4th Cross, Pai Layout, Hulimawu, Bannerghatta Road, Bangalore",Donne Biriyani Mane,No,No,3.2/5,3.2,7,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,Biryani,Biryani,300,,Dine-out,Bannerghatta Road,Bannerghatta Road
"120-P, A 3, Santosh Towers, EPIP, KIADB Industrial Area, Whitefield, Bangalore",Tayabbs,Yes,No,3.3/5,3.3,7,Whitefield,Whitefield,Quick Bites,,,"Fast Food, Rolls",Fast Food,350,,Dine-out,Brookefield,Brookefield
"Shop 2, 25/2, Owners Court, Kasavahanahalli, Sarjapur Road, Bengaluru",Kadala Teera,Yes,No,3.8/5,3.8,46,Sarjapur Road,Sarjapur Road,Casual Dining,,"Sea Food, Chicken Kebab, Crab Sukha, Veg Fried Rice","Seafood, South Indian",Seafood,600,,Delivery,Bellandur,Bellandur
"17/4, 10th Cross, Tavarakere Main Road, 1st Stage, BTM, Bangalore",Boston Barista - Kappayum Curriyum,Yes,No,3.7/5,3.7,63,BTM,Btm,Quick Bites,,,Kerala,Kerala,350,,Delivery,BTM,Btm
"14, 2nd Floor, Church Street, Bangalore",Oh! Calcutta,Yes,Yes,4.4/5,4.4,1112,Church Street,Church Street,"Casual Dining, Bar",,"Fish, Curry Crab, Mocktails, Luchi, Kosha Mangsho, Sea Food, Daab Chingri","Bengali, Seafood",Bengali,"1,200",,Delivery,Church Street,Church Street
"5th A Cross, Lakshmi Complex, Manjunatha Colony, Near RV Dental College, 2nd phase, JP Nagar, Bangalore",Aniram's,Yes,No,4.1/5,4.1,739,JP Nagar,Jp Nagar,Delivery,,"Chilli Chicken, Butter Chicken, Kadhai Paneer, Hyderabadi Chicken Biryani, Jeera Rice, Ghee Rice, Chicken Masala","Chinese, North Indian",Chinese,500,,Delivery,Bannerghatta Road,Bannerghatta Road
"8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore",Arbor Brewing Company,No,Yes,4.5/5,4.5,8375,Brigade Road,Brigade Road,"Pub, Microbrewery",,"Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Craft Beer, Cocktails, Belgian Brew Beer","American, Continental, Salad",American,"2,000",,Dine-out,Brigade Road,Brigade Road
"16, Lalitha Enterprises, Kadirenahalli Main, Bendre Nagar, Kumaraswamy Layout, Bangalore",New Rajadhani Spicy,Yes,No,3.7/5,3.7,67,Kumaraswamy Layout,Kumaraswamy Layout,Casual Dining,,,North Indian,North Indian,700,,Dine-out,Banashankari,Banashankari
"307, Thimmaiah Rd, Govinda Chetty Colony, Shivajinagar, Bangalore",Aubree,Yes,No,,3.7,0,Shivajinagar,Shivajinagar,"Cafe, Bakery",,,"Cafe, Bakery",Cafe,400,,Desserts,Church Street,Church Street
"1428, Jagadish Suites, 21st Cross, 4th Main, Sector 7, HSR, Bangalore",Hatti Punjab Di,No,No,3.3/5,3.3,24,HSR,Hsr,Casual Dining,,,"North Indian, Chinese",North Indian,600,,Dine-out,BTM,Btm
"17G, 18th Cross, 3rd Sector, HSR Layout, Bangalore",RotiCurry,Yes,No,3.1/5,3.1,28,HSR,Hsr,Quick Bites,,,"Street Food, North Indian",Street Food,300,,Delivery,BTM,Btm
"99/4, Nataraja Layout, 7th Phase, JP Nagar, Bangalore",Mango Greens,No,Yes,3.9/5,3.9,49,JP Nagar,Jp Nagar,Casual Dining,,,"North Indian, Continental, Chinese",North Indian,900,,Buffet,Bannerghatta Road,Bannerghatta Road
"973, 6th Cross, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Bake-ooh,No,No,3.7/5,3.7,17,Bannerghatta Road,Bannerghatta Road,"Takeaway, Delivery",,,Bakery,Bakery,350,,Desserts,Bannerghatta Road,Bannerghatta Road
"9, Lake Square, Tank Road, Ulsoor, Bangalore",Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.2/5,4.2,382,Ulsoor,Ulsoor,Cafe,,"Wedges, Maggi, Burgers, Waffles, Margherita Pizza, Aam Panna, Tea","Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Pizza,500,,Cafes,Church Street,Church Street
"19, B.D.A. Complex, Austin Tower, Richmond Road, Bangalore",Allana Kabab,Yes,No,3.3/5,3.3,4,Richmond Road,Richmond Road,Quick Bites,,,North Indian,North Indian,200,,Dine-out,Brigade Road,Brigade Road
"941/1, Shop 4, Hulimavu Main Road, Bannerghatta Road, Bangalore",Bangalore Pantry,Yes,No,NEW,3.7,0,Bannerghatta Road,Bannerghatta Road,Quick Bites,,,"Chinese, North Indian, Biryani, Arabian",Chinese,400,,Delivery,Bannerghatta Road,Bannerghatta Road
"Opposite Laughing Waters, Ramagondanahalli, Whitefield, Bangalore",Hyderabad Cuisine Multicuisine Restaurant,No,No,3.7/5,3.7,198,Whitefield,Whitefield,Casual Dining,,"Spring Roll, Butter Naan, Fish, Haleem, Panneer Butter Masala, Roti, Hyderabadi Chicken Biryani","North Indian, Chinese, Biryani",North Indian,700,,Delivery,Brookefield,Brookefield
"25, 7th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR, Bangalore",Donne Biriyani House,Yes,No,3.8/5,3.8,278,HSR,Hsr,Quick Bites,,"Rice, Donne Biryani, Mutton Biryani, Chicken Kebab, Chilli Chicken, Chicken Biryani, Kshatriya Kebab",Biryani,Biryani,200,,Delivery,BTM,Btm
"Level 5, Eva Mall, Brigade Road, Bangalore",ShakesBierre,No,Yes,4.4/5,4.4,264,Brigade Road,Brigade Road,"Microbrewery, Casual Dining",,"Cocktails, Pizza, Mocktails, Sweet Yogurt, Nachos, Karela Chaat, Burgers","Asian, Continental, European, North Indian",Asian,"1,500",,Dine-out,Church Street,Church Street
"4, KH Road, Double Road, Shanti Nagar, Bangalore",The Bangalore Cafe,No,Yes,4.1/5,4.1,473,Shanti Nagar,Shanti Nagar,Casual Dining,,"Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha","Modern Indian, North Indian, Pizza, Continental, Beverages",Modern Indian,800,,Dine-out,Brigade Road,Brigade Road
"Ramaiah Garden, Beside Shoba Tulit Apartment, JP Nagar, Bangalore",Dosa Bazaar,Yes,No,3.9/5,3.9,112,JP Nagar,Jp Nagar,Quick Bites,,"Cheese Dosa, Tea, Pizza Dosa","Street Food, South Indian",Street Food,200,,Delivery,BTM,Btm
